category,year,development
T,0,"Sacred mechanical statues built in Egypt and Greece were believed to be capable of wisdom and emotion. Hermes Trismegistus would write ""they have sensus and spiritus ... by discovering the true nature of the gods, man has been able to reproduce it."" Mosaic law prohibits the use of automatons in religion."
C,-200,Greek myths of Hephaestus and Pygmalion incorporated the idea of intelligent robots (such as Talos) and artificial beings (such as Galatea and Pandora).
T,-100,Yan Shi presented King Mu of Zhou with mechanical men.
P,-384,"Aristotle described the syllogism, a method of formal, mechanical thought."
T,100,Heron of Alexandria created mechanical men and other automatons.
P,260,Porphyry of Tyros wrote Isagogê which categorized knowledge and logic"
P,800,"Geber develops the Arabic alchemical theory of Takwin, the artificial creation of life in the laboratory, up to and including human life."
T,1206,Al-Jazari created a programmable orchestra of mechanical human beings.
P,1275,"Ramon Llull, Spanish theologian invents the Ars Magna, a tool for combining concepts mechanically, based on an Arabic astrological tool, the Zairja. The method would be developed further by Gottfried Leibniz in the 17th century."
P,1308,"Catalan poet and theologian Ramon Llull publishes Ars generalis ultima (The Ultimate General Art), further perfecting his method of using paper-based mechanical means to create new knowledge from combinations of concepts."
T,1500,"Paracelsus claimed to have created an artificial man out of magnetism, sperm and alchemy."
T,1580,"Rabbi Judah Loew ben Bezalel of Prague is said to have invented the Golem, a clay man brought to life."
P,1600,"René Descartes proposed that bodies of animals are nothing more than complex machines (but that mental phenomena are of a different ""substance"")."
P,1623,"Wilhelm Schickard drew a calculating clock on a letter to Kepler. This will be the first of five unsuccessful attempts at designing a direct entry calculating clock in the 17th century (including the designs of Tito Burattini, Samuel Morland and René Grillet))."
P,1641,"Thomas Hobbes published Leviathan and presented a mechanical, combinatorial theory of cognition. He wrote ""...for reason is nothing but reckoning"""
T,1642,"Blaise Pascal invented the mechanical calculator,[15] the first digital calculating machine"
P,1666," Mathematician and philosopher Gottfried Leibniz publishes Dissertatio de arte combinatoria (On the Combinatorial Art), following Ramon Llull in proposing an alphabet of human thought and arguing that all ideas are nothing but combinations of a relatively small number of simple concepts."
T,1672,"Gottfried Leibniz improved the earlier machines, making the Stepped Reckoner to do multiplication and division. He also invented the binary numeral system and envisioned a universal calculus of reasoning (alphabet of human thought) by which arguments could be decided mechanically. Leibniz worked on assigning a specific number to each and every object in the world, as a prelude to an algebraic solution to all possible problems."
C,1726,"Jonathan Swift published Gulliver's Travels, which includes this description of the Engine, a machine on the island of Laputa: ""a Project for improving speculative Knowledge by practical and mechanical Operations "" by using this ""Contrivance"", ""the most ignorant Person at a reasonable Charge, and with a little bodily Labour, may write Books in Philosophy, Poetry, Politicks, Law, Mathematicks, and Theology, with the least Assistance from Genius or study."" The machine is a parody of Ars Magna, one of the inspirations of Gottfried Leibniz' mechanism."
P,1750,"Julien Offray de La Mettrie published L'Homme Machine, which argued that human thought is strictly mechanical."
F,1763,Thomas Bayes develops a framework for reasoning about the probability of events. Bayesian inference will become a leading approach in machine learning.
T,1769,"Wolfgang von Kempelen built and toured with his chess-playing automaton, The Turk. The Turk was later shown to be a hoax, involving a human chess player."
C,1818,"Mary Shelley published the story of Frankenstein; or the Modern Prometheus, a fictional consideration of the ethics of creating sentient beings.[21]"
T,1822,Charles Babbage & Ada Lovelace worked on programmable mechanical calculating machines.
F,1837,The mathematician Bernard Bolzano made the first modern attempt to formalize semantics.
F,1854,"George Boole set out to ""investigate the fundamental laws of those operations of the mind by which reasoning is performed, to give expression to them in the symbolic language of a calculus"", inventing Boolean algebra."
P,1863,"Samuel Butler suggested that Darwinian evolution also applies to machines, and speculates that they will one day become conscious and eventually supplant humanity."
T,1898," At an electrical exhibition in the recently completed Madison Square Garden, Nikola Tesla makes a demonstration of the world’s first radio-controlled vessel. The boat was equipped with, as Tesla described, “a borrowed mind.”"
F,1913,"Bertrand Russell and Alfred North Whitehead published Principia Mathematica, which revolutionized formal logic."
T,1914,"The Spanish engineer Leonardo Torres y Quevedo demonstrates the first chess-playing machine, capable of king and rook against king endgames without any human intervention."
R,1915,"Leonardo Torres y Quevedo built a chess automaton, El Ajedrecista and published speculation about thinking and automata."
P,1920,Ludwig Wittgenstein and Rudolf Carnap lead philosophy into logical analysis of knowledge.
F,1920, Alonzo Church develops Lambda Calculus to investigate computability using recursive functional notation.
F,1921," Czech writer Karel Čapek introduces the word ""robot"" in his play R.U.R. (Rossum's Universal Robots). The word ""robot"" comes from the word ""robota"" (work)."
C,1923,"Karel Čapek's play R.U.R. (Rossum's Universal Robots) opened in London. This is the first use of the word ""robot"" in English."
T,1925,"Houdina Radio Control releases a radio-controlled driverless car, travelling the streets of New York City."
