year,count
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,4.626473870672498e-09
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,4.8672021968343415e-09
1881,0.0
1882,2.302714019464247e-09
1883,0.0
1884,2.1637873715008027e-09
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,1.2497863854932234e-09
1890,0.0
1891,1.1225909091194808e-09
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,9.072611550919873e-10
1897,4.6188084468212764e-09
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,2.9077729113424766e-09
1903,0.0
1904,2.713294922074283e-09
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,9.167281933564198e-10
1919,0.0
1920,0.0
1921,0.0
1922,4.045425661125535e-09
1923,0.0
1924,0.0
1925,0.0
1926,1.8091604880865475e-09
1927,0.0
1928,0.0
1929,1.6521489731857741e-09
1930,0.0
1931,1.6105766720286852e-09
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,1.5469673320112065e-09
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,2.1411303841034623e-09
1944,5.867098362699608e-09
1945,0.0
1946,7.052967987419834e-08
1947,2.7532935931162683e-09
1948,1.925740900077244e-09
1949,5.813521886111062e-10
1950,0.0
1951,1.784441761021327e-09
1952,1.176486685849909e-09
1953,2.3983921515480233e-09
1954,1.1474304839609317e-09
1955,2.722105874042313e-09
1956,1.0495253555120598e-09
1957,1.953997408321584e-09
1958,1.3029047618573486e-08
1959,2.5875042108935986e-08
1960,4.970173489438068e-08
1961,3.009319027302837e-08
1962,2.4071139193004853e-07
1963,3.0193925582011616e-07
1964,1.5628643623699645e-07
1965,1.498174295733179e-07
1966,3.1336562589245887e-07
1967,1.7252333073258797e-07
1968,1.8985026528639537e-07
1969,2.365836322404391e-07
1970,2.9463029704857036e-07
1971,3.8624051690305805e-07
1972,4.668479869351927e-07
1973,3.4043360130908695e-07
1974,5.835362912876008e-07
1975,6.569078898621683e-07
1976,5.69873140676691e-07
1977,1.0328850610363816e-06
1978,8.364788879333673e-07
1979,1.1355906899268575e-06
1980,1.0186010968027404e-06
1981,1.4469026261565432e-06
1982,1.6191223792816345e-06
1983,2.2464966704660583e-06
1984,3.3983189098307776e-06
1985,3.833386514884296e-06
1986,4.911156587183996e-06
1987,5.223577190349715e-06
1988,5.985513524819908e-06
1989,4.973210629088953e-06
1990,5.769736773686418e-06
1991,5.246112856127638e-06
1992,4.81158415510663e-06
1993,3.9119233719020485e-06
1994,3.940060246065968e-06
1995,3.361954092895303e-06
1996,3.2541266890007137e-06
1997,3.24010154173493e-06
1998,3.1565079900985893e-06
1999,3.0205624099721717e-06
2000,2.6433281039572876e-06
2001,2.895399314084557e-06
2002,2.7281206929075097e-06
2003,2.477290816926825e-06
2004,2.641825890492555e-06
2005,3.00795953300792e-06
2006,2.3802040836073957e-06
2007,2.165066138815064e-06
2008,1.7987636429239728e-06
