year,count,Artificial Intelligence,artificial intelligence,Artificial intelligence,ARTIFICIAL INTELLIGENCE,artificial Intelligence,ARTIFICIAL intelligence,ARTIFICIAL Intelligence,artificial INTELLIGENCE,Artificial INTELLIGENCE,ARtificial Intelligence
1900,5.628019996336183e-8,3.40952273821434e-8,1.4855322305606933e-8,7.082583408646315e-9,2.470668669651843e-10,0,0,0,0,0,0
1901,4.221014997252137e-8,2.5571420536607548e-8,1.11414917292052e-8,5.311937556484736e-9,1.8530015022388824e-10,0,0,0,0,0,0
1902,3.3927643283693244e-8,2.0457136429286038e-8,9.072716689040305e-9,4.249550045187789e-9,1.482401201791106e-10,0,0,0,0,0,0
1903,4.958643967656329e-10,2.2890668527342228e-11,4.729737282382906e-10,0,0,0,0,0,0,0,0
1904,5.594059632185732e-10,2.2890668527342228e-11,5.36515294691231e-10,0,0,0,0,0,0,0,0
1905,4.795786850975148e-10,2.2890668527342228e-11,4.5668801657017254e-10,0,0,0,0,0,0,0,0
1906,4.795786850975148e-10,2.2890668527342228e-11,4.5668801657017254e-10,0,0,0,0,0,0,0,0
1907,3.6130584635252205e-10,2.2890668527342228e-11,3.384151778251798e-10,0,0,0,0,0,0,0,0
1908,4.1291214197825e-10,1.9477526536082478e-11,3.934346154421675e-10,0,0,0,0,0,0,0,0
1909,3.4937057552530956e-10,1.9477526536082478e-11,3.298930489892271e-10,0,0,0,0,0,0,0,0
1910,1.3863809961156546e-10,1.9477526536082478e-11,1.19160573075483e-10,0,0,0,0,0,0,0,0
1911,6.329632651347339e-10,1.9477526536082478e-11,5.951773990320319e-10,1.830833956661948e-11,0,0,0,0,0,0,0
1912,6.102887556425074e-10,1.9477526536082478e-11,5.725028895398054e-10,1.830833956661948e-11,0,0,0,0,0,0,0
1913,5.320648435724884e-10,0,5.137565040058689e-10,1.830833956661948e-11,0,0,0,0,0,0,0
1914,5.320648435724884e-10,0,5.137565040058689e-10,1.830833956661948e-11,0,0,0,0,0,0,0
1915,1.0569894640100053e-9,5.832495597601906e-11,9.025895586489696e-10,9.60749493850166e-11,0,0,0,0,0,0,0
1916,9.867185096767985e-10,2.915547692161624e-10,5.749917098007984e-10,1.201720306598375e-10,0,0,0,0,0,0,0
1917,9.88169378268733e-10,2.915547692161624e-10,5.764425783927329e-10,1.201720306598375e-10,0,0,0,0,0,0,0
1918,9.690056576583396e-10,2.915547692161624e-10,5.572788577823396e-10,1.201720306598375e-10,0,0,0,0,0,0,0
1919,1.0072565323482331e-9,3.1068020656110916e-10,5.764042951272863e-10,1.201720306598375e-10,0,0,0,0,0,0,0
1920,5.579229411800669e-10,2.712530075554831e-10,2.4426451278314334e-10,4.240542084144039e-11,0,0,0,0,0,0,0
1921,2.2637153540561171e-10,9.969173125901065e-11,1.2667980414660108e-10,0,0,0,0,0,0,0,0
1922,3.931279815572175e-10,1.744050390217744e-10,2.187229425354431e-10,0,0,0,0,0,0,0,0
1923,8.424563588405044e-10,1.744050390217744e-10,6.35956434735796e-10,3.20948850829339e-11,0,0,0,0,0,0,0
1924,1.1960294629687065e-9,2.532356005446879e-10,7.474389884798427e-10,1.6270287617192737e-10,3.2651997772248363e-11,0,0,0,0,0,0
1925,1.4775900641916806e-9,3.642111667812031e-10,9.180240234663017e-10,1.6270287617192737e-10,3.2651997772248363e-11,0,0,0,0,0,0
1926,3.770387710377854e-9,8.22415796575271e-10,2.4773900819674567e-9,3.7676828601451716e-10,6.323277179642873e-11,3.058077402418036e-11,0,0,0,0,0
1927,3.6445366030646298e-9,7.781685712471287e-10,2.395786199982375e-9,3.7676828601451716e-10,6.323277179642873e-11,3.058077402418036e-11,0,0,0,0,0
1928,3.4067931503622974e-9,7.781685712471287e-10,2.1599112137726807e-9,3.4467340093158327e-10,9.345919038672435e-11,3.058077402418036e-11,0,0,0,0,0
1929,3.711950211093828e-9,8.014266666966918e-10,2.3626419792810437e-9,3.0497597780509976e-10,2.1232481328681273e-10,3.058077402418036e-11,0,0,0,0,0
1930,3.422038938327709e-9,6.715533434897836e-10,2.202604029721833e-9,3.0497597780509976e-10,2.1232481328681273e-10,3.058077402418036e-11,0,0,0,0,0
1931,2.4849696328432813e-9,5.861495261383354e-10,1.445136607602926e-9,1.995279053090826e-10,2.541555937929374e-10,0,0,0,0,0,0
1932,1.2716601921480831e-8,9.743640450032842e-10,4.624555149934651e-9,6.758856985200623e-9,2.890456429760491e-10,0,6.978009836622334e-11,0,0,0,0
1933,1.9141222093455035e-8,2.9872413764842066e-9,7.87137847124697e-9,7.670942059334606e-9,5.418800880230279e-10,0,6.978009836622334e-11,0,0,0,0
1934,1.9122077218880486e-8,3.112513158320951e-9,7.969390003470523e-9,7.580031491372097e-9,3.903624673506911e-10,0,6.978009836622334e-11,0,0,0,0
1935,1.926397660556578e-8,3.112513158320951e-9,8.081412283811318e-9,7.609908597716597e-9,3.903624673506911e-10,0,6.978009836622334e-11,0,0,0,0
1936,1.8377389379709006e-8,2.7962846371742954e-9,7.60340185257391e-9,7.589971878774193e-9,3.1795091282038613e-10,0,6.978009836622334e-11,0,0,0,0
1937,8.47474656839875e-9,2.461158676858588e-9,4.672032682950799e-9,1.0584943449520878e-9,2.8306086363727446e-10,0,0,0,0,0,0
1938,2.1667876076714163e-9,5.079624609827249e-10,1.482575318068058e-9,1.7624982862063376e-10,0,0,0,0,0,0,0
1939,1.8071487445370237e-9,3.193306397086815e-10,1.2826412487676465e-9,1.7624982862063376e-10,0,2.8927027440062147e-11,0,0,0,0,0
1940,5.2418513835084105e-9,1.9756226321554492e-9,3.090929001636766e-9,1.463727222761335e-10,0,2.8927027440062147e-11,0,0,0,0,0
1941,4.817519025368533e-9,1.9260375849761147e-9,2.8048623090803914e-9,5.7692103871964664e-11,0,2.8927027440062147e-11,0,0,0,0,0
1942,4.427597383172e-9,1.8424829439922519e-9,2.526346853937156e-9,2.9840557802529586e-11,0,2.8927027440062147e-11,0,0,0,0,0
1943,4.464294064976393e-9,1.849155067956687e-9,2.5530353497948967e-9,3.317661978474717e-11,0,2.8927027440062147e-11,0,0,0,0,0
1944,6.002704519558755e-9,2.048369779350523e-9,3.1785150178542667e-9,9.030301229007165e-11,6.855167100638937e-10,0,0,0,0,0,0
1945,8.272339682702246e-9,2.717034724986078e-9,4.400416175887045e-9,1.408455546636489e-10,1.0140432271654732e-9,0,0,0,0,0,0
1946,8.484731042757154e-9,2.698336504236565e-9,4.631505756691468e-9,1.408455546636489e-10,1.0140432271654732e-9,0,0,0,0,0,0
1947,9.057447028504306e-9,2.7864466567439905e-9,5.028001437423768e-9,1.8490063091736175e-10,1.058098303419186e-9,0,0,0,0,0,0
1948,1.0257287297310569e-8,2.8964070031278766e-9,6.018822795716972e-9,1.7376320937678714e-10,1.1682942890889335e-9,0,0,0,0,0,0
1949,8.832986903017925e-9,2.8896214532281305e-9,5.2984450160664665e-9,1.1663681687146266e-10,5.282836168518656e-10,0,0,0,0,0,0
1950,3.9155184761163754e-9,6.778473671253948e-10,2.7001808788895686e-9,8.87308448938029e-11,4.4875938520760885e-10,0,0,0,0,0,0
1951,4.691628813224824e-9,1.0782150949850688e-9,2.9858584271735823e-9,1.1124711013499322e-10,4.937919156899895e-10,2.2516265241190324e-11,0,0,0,0,0
1952,6.828687931781374e-9,2.6203761493981405e-9,3.448559726670908e-9,1.553147985222658e-10,5.819209919488699e-10,2.2516265241190324e-11,0,0,0,0,0
1953,6.787821769937974e-9,2.9868275075450867e-9,3.1108506659549563e-9,1.3327560027809326e-10,4.92600581158964e-10,6.426741500087374e-11,0,0,0,0,0
1954,1.2327701279235548e-8,4.511494966497054e-9,6.315416056779099e-9,9.059012082146545e-10,5.097398600439895e-10,8.514918770075041e-11,0,0,0,0,0
1955,1.370854623983231e-8,5.287216886529222e-9,7.018261793945157e-9,9.798847275255263e-10,3.380336441316523e-10,8.514918770075041e-11,0,0,0,0,0
1956,1.9664834041699387e-8,6.863105816989901e-9,1.0813320994174091e-8,1.5169895228872577e-9,4.087847851885762e-10,6.26329224595601e-11,0,0,0,0,0
1957,2.7881035860599644e-8,8.53395079047914e-9,1.6520474677150786e-8,1.8773879784106386e-9,8.32766945679797e-10,1.1645546887928405e-10,0,0,0,0,0
1958,6.522216368515244e-8,1.573025176782039e-8,4.097454375795451e-8,6.646417594069476e-9,1.6435015293136956e-9,2.2744903599436484e-10,0,0,0,0,0
1959,7.971375597382035e-8,1.8964250791952963e-8,5.0377750504537745e-8,7.284540481933277e-9,2.785540298422262e-9,3.016738969741084e-10,0,0,0,0,0
1960,1.6373811395353765e-7,3.998411699512872e-8,9.719981584055403e-8,1.2785491154687634e-8,1.3271402043990576e-8,4.521462204643001e-10,4.5141698712392045e-11,0,0,0,0
1961,2.0980221575317426e-7,4.983084025411699e-8,1.2111979330597933e-7,2.0432579717066802e-8,1.772430229252109e-8,5.226506005762132e-10,1.0154520280192258e-10,0,2.820175204476527e-11,4.230262806714791e-11,0
1962,2.4645078410823194e-7,5.5972686396899006e-8,1.3684183244322413e-7,2.9696820291746916e-8,2.3163667872694305e-8,5.887386911318515e-10,1.0154520280192258e-10,1.4988829621920274e-11,2.820175204476527e-11,4.230262806714791e-11,0
1963,2.7044518970398275e-7,5.904990274530064e-8,1.4023565739762489e-7,3.93585597890933e-8,3.08383300229309e-8,7.213481589829484e-10,1.1513349718050847e-10,2.857712400050616e-11,2.820175204476527e-11,5.589092244573379e-11,1.3588294378585886e-11
1964,3.0817466846189133e-7,6.612825984575465e-8,1.5703665212640772e-7,4.855719417662385e-8,3.529462269113992e-8,8.505692816740407e-10,1.415249972769317e-10,6.816437414514098e-11,2.820175204476527e-11,5.589092244573379e-11,1.3588294378585886e-11
1965,2.935803333450893e-7,6.452341949625406e-8,1.4280835785029923e-7,5.458584126927235e-8,3.0196985889574536e-8,1.131585447566863e-9,1.0836909009048768e-10,1.0412175011076385e-10,2.820175204476527e-11,7.986250549762985e-11,1.3588294378585886e-11
1966,3.15454486267408e-7,7.161696231605675e-8,1.4808385344622367e-7,6.226869615488795e-8,3.175864371485204e-8,1.4838632766966952e-9,7.545348651438744e-11,1.15865700367479e-10,0,3.7559877430481946e-11,1.3588294378585886e-11
1967,3.4256853885805684e-7,8.229644237189859e-8,1.609071915709137e-7,6.611543597045966e-8,3.106034149880088e-8,1.8444535676565011e-9,8.71730215790123e-11,1.2431594087480846e-10,0,1.1959662149507723e-10,1.3588294378585886e-11
1968,3.54214048145507e-7,9.65233496685869e-8,1.6327682033079328e-7,6.554386260404499e-8,2.6725969703988995e-8,1.7123047757472421e-9,1.2072484678604667e-10,1.342977062890327e-10,0,1.7671850927047927e-10,0
1969,3.9672194046824756e-7,1.2355497602811738e-7,1.7509325402897958e-7,6.941816437233683e-8,2.6317836798739336e-8,1.8775137777815586e-9,1.6515820933094004e-10,9.471045614439788e-11,0,2.003267968175848e-10,0
1970,4.2869899081615644e-7,1.4348915442496945e-7,1.859463054643129e-7,7.167128188712013e-8,2.5566503936147454e-8,1.5896046146046672e-9,1.7710230643119828e-10,5.8753080178775e-11,0,2.00285102391895e-10,0
1971,4.74084694028487e-7,1.787492152516279e-7,1.9601097562826907e-7,7.195270086413075e-8,2.5138069759123026e-8,1.5874549119665459e-9,2.237198273857821e-10,1.4048302521274537e-10,0,2.8207476077124485e-10,0
1972,5.114073498152518e-7,2.002030015546552e-7,2.1212688920968504e-7,7.128958543489716e-8,2.5591124952484278e-8,1.5841560396800957e-9,2.239303437123752e-10,1.2897400647471357e-10,1.1930051391217945e-11,2.477582222715213e-10,0
1973,5.860370409782601e-7,2.43265446897567e-7,2.3757554288295068e-7,7.468860871995275e-8,2.7898300558604205e-8,1.998883947251784e-9,1.99971175729452e-10,1.981277530926917e-10,3.511100299391501e-11,1.770480401175334e-10,0
1974,6.140515598523911e-7,2.62261622197002e-7,2.457706216318911e-7,7.383441840147497e-8,2.9773715226610874e-8,1.8183547778605203e-9,1.84148310489185e-10,2.2012855149800005e-10,3.511100299391501e-11,1.5343975257042786e-10,0
1975,7.270637319894967e-7,3.301556006363171e-7,2.820029919803346e-7,7.962533175032149e-8,3.227846505637899e-8,2.3152526340552982e-9,1.927850601379788e-10,2.7440627825559004e-10,8.938872975150502e-11,1.2950986394422158e-10,0
1976,7.902347126220734e-7,3.577047749558915e-7,3.0996874897937234e-7,8.496972867533258e-8,3.468395881611741e-8,2.4128028686121183e-9,1.3347511290673353e-10,1.917278572016734e-10,8.938872975150502e-11,8.010662688739955e-11,0
1977,8.999230660326763e-7,4.153133318141045e-7,3.461217431777186e-7,9.744743749706686e-8,3.752726271954998e-8,2.9415750502082007e-9,1.9645803733814304e-10,2.333070750482058e-10,8.816053234661502e-11,5.379012929518367e-11,0
1978,9.746906113265728e-7,4.5030704995951967e-7,3.840946646960219e-7,9.558356310890303e-8,4.0894153130466296e-8,3.2930262294783573e-9,2.2672967253667408e-10,1.726548196079314e-10,6.497958074391796e-11,5.379012929518367e-11,0
1979,0.0000011016413692048477,5.099302029520913e-7,4.468320184969343e-7,9.72105993923833e-8,4.3187128540012054e-8,3.931603664852901e-9,2.369265270085741e-10,1.9411992152607027e-10,6.497958074391796e-11,5.379012929518367e-11,0
1980,0.0000012309524817212537,5.491696583703743e-7,5.19411690902416e-7,1.0512719512689728e-7,5.2245403026063285e-8,4.416678400787077e-9,2.909408033935357e-10,2.0477787937567272e-10,3.234708265131836e-11,5.379012929518367e-11,0
1981,0.00000153812825674296,6.981123760851915e-7,6.606982822177087e-7,1.102977961409124e-7,6.260006770730798e-8,5.589199236766263e-9,5.306199479804263e-10,2.1485528911568962e-10,3.234708265131836e-11,5.2713035325613333e-11,0
